pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Rain
7.7,11.1,21.2,309,9.1,9.8,22.7,5.548,0.236,5.4,64750,3.31,0.136,66.6,3225,85.4
7.3,9.8,25.8,303,5,9.7,14.7,5.33,0.114,5.6,11800,3.187,0.038,47.1,3300,222.4
7.3,8.2,26.8,321,8,10.2,21,6.915,0.208,4.8,243000,4.75,0.133,31.3,83251,84.5
7.6,8.8,29.3,357,6.6,10.2,18.3,7.542,0.187,5.3,146300,5.504,0.11,38.7,53150,397.1
7.3,7.8,24.7,262,4.1,6.2,10.4,5.072,0.166,3.6,54000,2.862,0.095,28.1,18267,129.7
7.4,11.4,18.9,393,5.1,7.1,9.8,7.143,0.192,4.2,26920,3.638,0.11,35.2,12300,125.2
7.7,9.6,14.7,442,7.9,8.4,10.3,9.608,0.255,5.1,82050,6.539,0.138,33.4,29550,47.2
7.6,8.2,9.4,449,7.2,9.1,12.9,11.538,0.344,5,248500,5.954,0.229,37.7,156925,32.4
7.3,12.4,8.6,474,6,8.1,9.7,9.384,0.122,5,15750,6.281,0.026,40.5,2750,16.4
7.3,11.8,8.8,458,7.7,11.3,19.2,11.656,0.142,5.6,23333,8.402,0.01,60.3,2000,37
7.6,10.8,12.9,385,10,12.7,19.7,10.815,0.164,6.2,60500,7.551,0.031,60.5,13575,33.9
7.5,9.5,15.6,398,8.8,11.7,17.1,9.274,0.172,5.8,99200,6.071,0.04,26.5,17900,84.7
7.5,9,19.9,379,8.2,10.4,15,7.874,0.114,5.5,46025,5.367,0.04,12.6,7250,78.8
7.6,8.9,24.1,335,8.9,11.4,13.1,6.385,0.112,6.1,24900,3.942,0.046,17.8,5950,158
7.4,8.1,25.6,272,7.8,10.6,15.4,5.356,0.194,6.1,106750,2.642,0.128,19.4,29400,242.2
7.6,8,27.5,315,7.6,9.6,22.7,6.017,0.194,6.6,204700,3.341,0.111,26.4,61250,64.8
7.4,9.2,24.3,280,5.7,7.4,10.1,5.499,0.13,4.1,45850,2.948,0.073,11.2,25050,165.8
7.4,11.4,19.6,292,5,6.8,12.1,5.346,0.071,3.5,12950,2.249,0.03,19.3,3600,149.9
7.4,9.8,15.4,398,9.8,12,19.6,9.085,0.266,5.3,247050,5.656,0.167,30.2,142775,22.8
7.7,13.8,10,414,8.6,11.5,23.3,7.204,0.148,5.3,110750,3.474,0.005,112.1,30925,31.6
